Rating,Year,Month,Title,Body
5,2018,11,Modern Excellence,"Some serious thought went into planning this hotel, which has wonderfully thought out rooms. I initially was a bit worried (on a busy road) and initially appeared a bit cold, but the rooms are a tour de force of how to build a hotel room. High tech but easy to operate room controls. Excellent sound proofing from both exterior and internal noise and plenty of space. Really well done. Odd that they have shampoo and bath gel as a two in one and also odd that the conditioner comes in a packet (like the free samples you get sometimes). Odd slip in quality in an otherwise excellent room. Service was excellent from front desk, porters (very quick) and concierge. Ate at Bamboo Bar which was very good. Breakfast was solid, although I thought Four Seasons was a bit better. Probably…"
5,2018,10,Stylish hotel,The hotel stay was 5 star from reception to departure Furnishings and decor very trendy and uncluttered Staff were attentive the food was excellent and our room very modern with great facilities Attention to detail was fantastic
5,2018,9,Favourite Hotel in Milan,Great personnel. Great services. Good restaurants. Wonderful rooms. Amazing drinks and a nice club well frequented over the weekend. Sauna and swimming pool with wonderful view. Nothing to say. All perfect.
5,2018,10,Excellent hotel I’m trendy Milan,I thoroughly enjoyed my stay at this very trendy hotel. The rooms are trendy and I loved the spacious bathroom and shower. The service is excellent and with the help of the iPad in your room you can literally do everything from ordering and extra pillow to navigating the channels on your tv and even order room service which was prompt and I ordered the hamburger which is tops and I highly recommend. The valet service is also good and I was generally impressed with everything about the hotel and staff attitude and courtesy. I’ll fefin be back.
4,2018,9,"Chic Italian Sophistication, by Armani","This is the third hotel I have stayed in Milan, I have written reviews for Park Hyatt and Mandarin Oriental previously. This was also the first time I drove myself to the hotel rather than having a chauffeur service. The hotel is on a busy street so they have a small lay-by for maybe 2, max 3 cars, I was luck that it was not busy so we were able to pull up. The bell-hops were very quick at unloading my car and getting our bags and we went up to the lobby on the 7th floor. The interiors were ultra luxe, minimalist chic, well dressed staff and almost clinical corridors. We got checked in and was shown our room. The room was dark and modern, but it has some wear and tear. Carpet was old and almost looked dirty, some of the furnishings were chipped.The room was large and the…"
5,2018,9,Beyond expectations,"I guess you get what you pay for but in this instance you get more. The staff are amazing. They welcome you each time you walk by lobby. The staff at the bar are the same, always welcoming. Even door staff downstairs are amazingly friendly. Additionally the staff were great in arranging skip the line tours and arranging a trip outside of Milano for the day. The staff arranged the day tour the night before which was a big ask during fashion week. The room was a great size and housekeeping were also fabulous Cocktails and food at bamboo bar was excellent. So impressed we will be back and we can’t wait to see all the staff again"
4,2018,6,armani style,We stayed at Armani just for a day for transit but will recommend to all luxury travelers. A to Z Armani and they stand by it . The staff in fornt office is very alert and helpful. The staff in restaurant is reversed and gives good privacy but lack promptness in service. The location is well in city . Beds are very comfortable and toiletries are amazing!
5,2018,8,Sophisticated modern elegance,"This hotel exceeded my expectations. It is absolutely serene and private with incredibly helpful sophisticated staff waiting on you with every wish. Every request I had was handled swiftly, spa appointments, private guide, transportation transfers, restaurant reservations you name it. We had an executive suite that was very large, with 2 bathrooms. The in-room amenities were luxurious and plentiful. We were absolutely in love with our suite. Our room included a full breakfast (American style) with the option to order off an a la carte menu along with the buffet. We never felt the need because the provided buffet was so plentiful! Do not hesitate to book if you are looking for a luxurious sanctuary in an incredibly chic location in Milan."
5,2018,7,Super hotel,"super location , rooms and food had a great time. fallen in love with their user friendly room automation systems best so far ever used... great offers for American express platinum card holders one of the major reasons i picked up this hotel."
5,2018,8,Sweet Suite stay,"Stayed at Armani Hotel in a Suite for 3 nights. The room was enormous and very comfortable for 2 adults & 2 small children. Great amenities in the hotel, although slightly disappointed the spa was out of service for maintenance. Also, a pool would have been ideal although not on offer at this hotel. Amazing staff that cannot do enough. Great location. We will return and there will only be one Hotel that we will be staying at- ARMANI"
5,2018,7,Fantastic stay!,"What an amazing experience! After a 28hour journey with a young baby, they had our room ready and waiting at 10.30 in the morning. The check in was the most helpful and pleasant experience i’ve Had in any hotel in Europe. They showed us all the features of our room, gave maps and recommendations of places to go. A toy gift for our little one, and room upgrade! I can not fault the helpfulness and friendliness of the staff and the rooms were sleak and spotless. The location was also fantastic, being right at the start of via montenapoleone. We would stay here again without hesitation and if I could rate this hotel 6 stars out of 5 I would. It’s not the cheapest, but you get what you pay for! Thank you Armani hotel for a wonderful stay."
5,2018,6,"Smart, stylish and gracious","What a lovely surprise the Armani turned out to be. After staying in many lovely vintage hotels, the Armani was our last stop before heading home. We absolutely enjoyed the contemporary accommodations. It's a sleek and subtle: clean lines with a neutral palette of colors of varying textures ( back-lit amber, leather finished granite and plush towels and bedding). The rooms are smart: everything is controlled by an i-pad. The staff was nice and accommodating, even remembering our names. The restaurant/lounge staff knew our choice of beverage after our first order. It's located on the 7th floor, so the floor to ceiling windows allow to appreciate the beautiful architecture surrounding the hotel. I would definitely stay there again!"
3,2018,7,All Style and No Function,"Silly is the best description I can give. Beautiful rooms with nowhere to plug in anything. Cool elevators that are difficult to use. Large bathrooms where you can’t reach the TP because function was sacrificed in the name of style. Guests can be seen struggling to figure how to open their doors. Add a clueless surly staff and you get the picture. On a good note, room service was prompt and the lobby bar is nice if you don’t mind waiting 15 minutes for your drinks."
5,2017,8,Italian Style at its best!,"From the first step I noticed the style and kindness of the staff. During all stay they remember my name and preferences. After many hotels I have seen worldwide, I rarely get impress but I must say, Armani hotel stands for its legendary name."
5,2018,5,Thoroughly enjoyed this property!!!,"I normally try to stay in classic hotels as opposed to modern hotels given a choice. I was extremely happy that I chose to stay in the Armani Hotel Milano. The exterior of the building doesn't do it justice. It is a somewhat non descript modern building without any particular character. Once you steps though the doors, that all changes. The hotel staff are extremely helpful and friendly. They went out of their way to make us feel at home and comfortable. The lobby is not particularly interesting, but well staffed and efficient, and with service with a smile. The Armani scent was omnipresent throughout the hotel, and was very welcome. The bar has wide vistas, and nice music and drinks. The room was amazing! The bed very comfortable, the bathroom spacious and provided…"
5,2017,10,Yes yes yes!,"In the heart of Milano, that sumarieses it all! Nevertheless... I loved how the interior materials were arranged, provoking the tactile senses. The bar on the top floor was the perfect place great view and feal! Keep it up!"
4,2018,4,"Young ,live jazz music.","Very nice atmosphere, at the front bar just before dinner had aperol amd listened to nice jazz live music . Good for drinks before dinner. I really liked the place and i enjoyed my time at the bar listening to good music ."
3,2018,6,Underwhelming,"Just checked in..staff seems polite and helpful. not a fan of the beige on beige on beige but More importantly, the property is not well laid out and the room feels claustrophobic. I got the classic suite which is supposed to be 60 sq m but it feels a lot smaller!!! The room is so small there is not enough room to open two suit cases on the floor. And what’s worse, there is a smell of mildew/mold in the shower. Not what I was expecting for $1,000 usd per night. Perhaps my experience will be better tomorrow. One more thing, i found a plastic cup full of cigarette butts on the terrace. I guess the cleaning crew missed it"
5,2018,6,The perfect hotel!!!,"It's just the perfect hotel ... everything is so right in the high level , from design of the room, to the of bed linen Great breakfast great spa , we take massage it was one of the best... rally everything in this hotel was wonderful!"
5,2018,4,Good experience,The hotel is very well design and has great technology inside the room. The staff is super friendly and at all times and they explain everything you need to know about the services. Definitely coming back...
5,2017,12,Super luxurious hotel,"Glad we choose this hotel, from the lobby to the rooms, everything looks elegant. Our room were very spacious and the bathroom amenities were luxurious. Hotel staff were very Friendly and accommodating. Booking airport transfer to restaurant reservation was very easy without a hassle. Highly recommended!"
5,2018,5,Knotty,Amazing Hotel exceeded our expectations from the moment we arrived The staff are incredible Nothing is too much trouble The room is breathtaking Electronic system very thrilling All the facilities work by this method A mini suite almost The room had a lobby it was huge The bathroom was stunning The best hotel we have ever stayed in We had the pool area to ourselves every day Not crowded at all The hotel is immaculately presented Marble floors gorgeous furniture True luxury with a relaxed professional feel as the staff are trained to the highest level The Spa staff and the reception staff in particular made us feel very much at home and relaxed A wonderful stay
5,2018,5,Excellent,"Armani knows how to create an unique experience for your stay. Really different from all the hotels I stayed before. I loved the style and mood created in the hotel. Room was better as expected. Service was excellent. Staff was friendly, kind and very helpful. Location is right in the fashion district."
4,2018,5,excellent location,"amazing hotel with excellent room , very clean &quite , very high technology but was not clearly explained . I loved the look of the doors mostly they only need to improve their breakfast and concierge services."
5,2018,5,Always as good as the last time!,Have been staying at the Armani Hotel on a frequent basis the last four years. Continues to strive for improvement in all areas. Very special experience and the staff is what makes the difference. Our home in Milan. Thank you Armani...
5,2018,5,Minimalist Haven,"I absolutely love this property in the heart of the best shopping district in Milan. It's incredibly chic, and perfect for those who love minimalist decor and expect top customer service. The staff is incredibly helpful, the spa is fantastic, the room (and bed & sheets) are top of the line. I highly recommend the Armani Hotel and will be recommending this property to clients."
5,2018,2,Great room,"Well located in the center of Milan, the Armani hotel does make up to expectations. Friendly staff and great infrastructure. The rooms are comfortable and nicely appointed the iPad controlling lights blinds and all the rest is a bit of a gimmick but cool none the less. The bathroom is spacious and perfectly laid out and the Armani amenities are a treat. Pricey but recommended"
5,2018,5,Perfection on many levels,Thoroughly enjoyed my stay and cannot think of any faults with this hotel. The staff were warm and friendly. The room was perfect and well appointed. Everything was so thoughtful! Breakfast was amazing. Gym was well equipped And location was very convinient
3,2018,5,"A mix of 5 star and 4 star, dont be carried away with the brand!","That was my 3rd stay in armani milan. The first two stays was around 3 years back. I decided to stay in this hotel as I wanted to be close to Montenapoleone. However, first of all the checkin was average nothing special at all. I have booked a premium room category which is usually bigger than deluxe rooms. As it mentions on Armani website its 55sqm. However when i went to my room I was shocked how small the room is , then when i came back to reception to ask which category this rooms is, she told me its premium and i told her my previous stay the room was deluxe and was bigger! She gave me a very weird answer that only two rooms deluxe in the hotel that have a better layout! And she checked my room area and she told me its 47sqm and its big enough! I didnt want to argue as i…"
4,2018,4,Great modern hotel,I really liked this modern hotel. The staff is friendly and service is amazing. My only concern is the structure. we have to use to 2 elevators to go to the room. Also the concierge and reception are the same desk.
5,2018,3,Beyond Luxury Property....Fabulous Location!!,"I stayed recently for a couple of nights, the proprty has the most incredible smell. If your a fan of Armani fragrances, you will love this hotel. The Hotel baffles you in a good way, you take the elevator to recption, which you assume would be on level 1, but its actually level 7 - all the bedrooms are on the floors below. The concept behind this is to give fabulous views from reception and the restaurant across Milan.The bedroom was just total luxury, the smell, accessories and bathroom. The cafe was expensive, but delicious - the spa is pure luxury and based on the 8th floor with incredible views of Milan."
5,2018,4,Impeccable experience,"Armani team! Thanks for a more than pleasant stay. Great service, great accomodation, great food, great drinks. AND you fixed the Last Supper visit. Mille grazie!!!! Top of the line experience throughout the entire stay."
5,2018,4,"Pricey, but you get what you pay for!","My fiancé and I wanted I take a short babymoon so decided to treat ourselves and stay at the Armani Hotel for 4 nights. Upon arrival (and assuming due to availability), we were permitted to check in 3 hours early and were upgraded to a nicer room. The room had 2 large TVs in it; one in the bedroom and one in the sitting room area. Everything is controlled using a user-friendly iPad (we had 2 in our room for ease of access), including the blinds, the lighting and the entertainment system. There are lots of movies available free-of-charge on the TVs. You can even order extra pillows, food and pretty much anything else on the iPads. We did make the most of the pillow menu as we found the pillows and bed to be a little hard for our liking, but the option is there for you if you…"
5,2018,3,Excellent bar,Visited the bar only. Came for a few drinks during the day. The bar is amazing. Very nicely decorated and so classy. Staff are friendly and have a great knowledge of drinks available. Would recommend when in Milan.
5,2017,4,best hotel in MIlan,"Armani Hotel is one of the best hotels in Milan, the staff is very freindly. Whenever they see you they are smiling and welcoming. Inside the hotel you can always smell great Armani Perfume which reminds me many good memories. The rooms are quite large, and very comfortable. The service is GREAT."
5,2018,3,Best Hotel,"I was there for the second time on Saturday 17th of March and was just amazing! I love every single thing there... service, design, food, the room and the bed!! I would repeat and repeat! Thanks again!"
5,2017,6,Flawless! An exceptional hotel in a fab location...,"Fantastic hotel, fantastic location and amazing service!!! Check in was straightforward with no issues. The staff overall were exceptionally attentive and accommodating. We stayed in the deluxe double which is their basic room but was far from basic, very spacious and both the room and bathroom had great views. The bed was very comfortable and room exceptionally clean. There is a 'walk in' wardrobe between the bathroom and bedroom. The design of the room was impeccable. It had everything you need including a Nespresso coffee machine. This is a tech savvy hotel which is explained thoroughly when you are taken to your room. The Wi fi was very good and there were no issues with this or the speed or anything in the room - everything ran smoothly and did what it was supposed to…"
4,2018,3,Very nice and modern!,"I have stayed for 3 nights in the hotel. I had a beautiful suite, went to the spa for massage. I choose a woman and I did not really like it. Better ask for Male. You will enjoy the breakfast for sure and you should absolutely try the restaurant. I will post the pictures. Very tasty food. The concierge is very kind and helpful. The hotel is on a high level, very modern, with a gym. Only little suggestion. The housekeeper and mini bar services are coming to the room, that I did not even hear them coming. They were disturbing me 3 times per day, by waking me up walking in when I’m taking shower etc. It should be absolutely changed. What I did not like is that the hotel is very dark inside. Therefore score 4"
1,2018,2,Be VERY careful of your belongings....,"On a trip to Milan a few weeks ago, we spent a night at the Armani Hotel. Some money - a significant amount - was stolen from our room. We unfortunately only realised after unpacking at our next location. Whilst the manager was responsive at the start, after I reported the matter to the police he seemed to suggest that it was our fault. Perhaps we could have been more careful, but this does not excuse the behaviour of untrustworthy staff. Needless to say, we did not hear from him after our return home. I would have expected a better level of follow up service from a well reputed establishment like this. When we eventually called the Armani Hotel for an update ten days later, the manager suggested that we could tell our insurance company that we will take our business…"
5,2018,2,Top Class!!,"I surprised my beloved wife in choosing Armani Hotel for us to stay because I knew that she would love the location at Quadrilatero d'Oro :-) On top of location, Armani Hotel's team surprised us with welcoming flower bouquet for my wife inside our suite. What a classy touch! We truly enjoy our daily breakfast at Armani Ristorante at the 7th Floor which always serves fresh and delicious breakfast items. All in all, Armani Hotel Milan not only deserves 5-star rating, but a serious contender for a 6-star rating (if there is any). Bravo!!"
5,2018,2,A very special birthday indeed,"My second visit to the Armani Hotel in Milan. I love it here, if find the ambiance very relaxing, it quietens my busy mind and inspires me in many ways - opening me to a new perspective on aesthetics and culinary experiences. I had a big birthday during my visit, friends who joined me here told the staff and to my surprise I found a cake in my room one evening after dinner, not easy given that I am vegan - what a wonderful surprise and very touching. The spa and gym which I used every day, are wonderful as are the staff who seem to genuinely enjoy working here, their greetings are sincere and their smiles are genuine. Thank you for a wonderful few days, I am already looking forward to my next visit."
5,2017,11,Amazing Armani,"Our stay at The Armani Hotel was in November 2017 for three nights.The hotel is as stylish as you would expect from Armani and situated in the heart of the glamorous shopping district. Our room was beautiful with a wonderful spacious bathroom and everything is controlled by iPad which is simple and fun to use. Quite often, when you stay in a nice hotel, you find yourself rolling your eyes when a bottle of water adds £5 to your bill - not in the Armani hotel - there are many little complimentary touches that make your stay comfortable. But the best thing about the hotel is the staff! From the minute you arrive at the front door of the hotel, the staff are incredibly friendly and helpful and really seem genuinely happy to help with anything. The gentlemen at the front door, the…"
5,2018,1,One of the best experiences,Great name with great people who try’s their best to rest assure you enjoy your stay in Milan. Thanks for your endless efforts for your clients which endeavor their stay and experience in Italy with love and respect .
2,2018,1,Like a broken down Ferrari,"We were very excited about staying here all the reviews are great, the location, and we planned on going to Armani Prive for NYE. The room on the face of it was nice, but attention to detail made me think has this hotel run out of money, are they blind, or don’t they care? The Hotel itself is nice, except all the different components work almost against each other opposed to in harmony. We wanted to go to Armani Prive for NYE so the Hotel Lifestyle team assisted the best they could, but said it is completely different and separate from the Hotel. Then they came back with expensive table packages. Since we were running out of time we confirmed we would take one. A few hours later they had all gone except a few and as a result the tables had more than doubled heading towards…"
5,2017,11,The wonderful Armani Hotel Milano,We stayed in an Executive Suite. The room was just beautiful and had a very modern technology system. The whole room is controlled from an iPad. It had two bathrooms (one master bathroom and one guest bathroom). And two rooms - a living room and a bedroom. There was an entry foyer as well. The staff was extremely friendly and helpful. The hotel's bar and restaurant were purely amazing. The food was delicious and there were many choices. Would love to stay here again. The hotel also features a gym and a jacuzzi. The views over the city were wonderful.
5,2017,12,Ultra chic hotel,We stayed here during our 2 night visit to milan. The location is great. Couldn't ask for anything better. Close by all the main shopping stores. Staff was fabulous friendly and willing to assist with any needs and recommendations. When you get off the elevator to your floor I loved that you didn't feel like you were staying in a hotel. Each room door just blended in with walls you couldn't even tell they were there. One of my fav features. The attention to detail when designing this hotel is superb! The room is controlled by the iPad. If you are jet lagged the black out shades will make the room pitch dark to help you get your rest. Another fav feature is the heated floors in the bathroom. So so nice especially in the cold months when you get up in the middle of…
5,2017,1,"Shopping, hotel and roof top bar?","Yes, a shopper’s dream. All area of this store/ hotel are spectacular but you have to got to the roof top bar- exquisite.... beautiful view of the city from this elegant indoor piano bar- pinch me!..... this is fashion and hospitality at its best"
5,2017,11,World class service!,"We only stayed in Milano for a day but this hotel made the perfect end of our trip in Italy. The quality of the bed, the linen, the design, the variety of the breakfast and the honest smiles from the reception desk made this hotel one of the best hotel experience we ever had! Located at the best spot in Milan! Surely recommended"
5,2017,12,the best,I've stayed in many wonderful hotels all around the world... this is my favorite for so many reasons..... Great location in a great city.. Amazing building Fantastic space. Wonderful Bar.. But much more than anything else.... Incredible high standard of personal service... We were so so looked after.... From the moment we walked through the door...We felt like we were at home.... I also think you get to know a hotel when something goes wrong... Milan In December. Its cold..and the heating in our suite wasn't working as good as it should have been.....The way we were treated the way the whole situation was handled was the best I have ever seen....On another occasion I left my phone in the back of a car that had returned us from the theatre.......The way they found my phone.…
4,2017,5,Armani style but..,"The hotel is well designed.. As its name is Armani fitting with all your expectations. Rooms are nice, service and staff are nice as well.. The only weird thing, they ask 400€ preauthorization from your card for your possible incidental charges ! Which is really insane. If you using an international credit card this refund can take weeks to be back and when this happens their apology ""mr we already send it back, its depends on your bank"". I traveled a lot but i never saw that they ask almost same as accommodation cost per night as block in your card. Once, they also couldn't close this pre-authorization.. They charged my extras as seperate charge and cancelled this pre-auth. At the end, i paid few hundreds and wait for release of another thousand a week. All other 5 star hotels…"
4,2017,12,Beige!,"Location is superb because it is just off the hardcore shopping district, the Quadrilatero della Moda, and also walking distance to all my business appointments. But being right on Via Manzoni can be noisy. I was awakened by the rumble of the trams. Personally I find the Armani Casa style rather dated. The endless beige on beige on beige doesn't feel terribly now but it can be soothing after an intense day of retail. And even if the style is not 2017, the tech is. Everything controlled by iPad including a wide range of music and videos. Super fun to stay in bed on a rainy day. Note that the minibar does not contain any alcohol, so for your nightcap you must go up to the bar or order room service. The soft drinks, however, are plentiful and gratis, which is great. Espresso…"
5,2017,12,I liked the luxury,"Hotel Armani Milan is one of the most beautiful hotels and the most wonderful cleaning service for the package arrangement and good reception and hospitality First, you will find the site is very strategic and very distinctive in the heart of Milan, as if you control Milan everything you want and everything you wish you will find near you especially for lovers of shopping and I also liked Very quiet hotel quiet unnatural if you do not see people in the restaurant at breakfast you think the hotel has no guests other than everything is distinctive and wonderful cleanliness wonderful room is excellent with the balcony and the bathroom is roomy and very large and the minibar was free and is refilled again when using any product breakfast N is delicious and delicious and the staff…"
5,2017,11,Pleasant stay in Milan,"We had an amazing stay at the armani hotel in Milano, a real nice experience during our short italian trip. Milan is a truely fashion jewel and Armani is still the best in the city ....We will be back!"
5,2017,11,Luxury at its best,"Stayed for 3 nights, welcomed by friendly staff. Very safe place to stay. Room had a duplex view which was an added luxury. Bathroom as so big you could live in comfortably. Overall an exceptional hotel."
3,2017,11,Not as amaying as expected...,"What can I say? One might think this is an amazing, gorgeous, stylish hotel from the King of Milan (as Armani is known by the locals), but alas, we were a little bit (or maybe a lot) disappointed with the establishment. 1. Location – great. But I can imagine some people complaining (and indeed they are) that it is a bit far from the city centre – you have to take a taxi or underground (which we did). 2. Building – very modern. But a bit strange to have reception on one of the top floors, and then your guests have to take two different elevators from reception to the room and then outside. 3. The rooms itself – super tech, space quality, controlled by an iPad. TV magically disappears away when you turn it off. I could imagine some people would find it…"
5,2017,11,Great Hotel,"If you like well designed hotels with extreme attention to details then definitely Armani Hotel is a must on your next visit to Milano. The rooms are not only comfortable but the decor stands out from most other hotels I've been to. The attention to every little aspect, from check-in to the hallways to the front desk to the toiletries to the disguised doors - inside and out, has made me a very happy customer."
5,2017,10,Unique Armani Experience,"My wife stayed at this hotel in October, as part of an anniversary trip. The hotel is very centrally located. It's close to the central train station, 5-10 minute walk to the Duomo and surrounded by many high-end and boutique shops and restaurants. The hotel itself is beautiful, modern, minimal and elegant at the same time. The staff was very friendly and helpful on making dinner reservations or area recommendations. We didn't get a chance to visit the restaurant, but had drinks and food in the room. Room service was excellent, very quick service and the food was still fresh when we received it. The room was a unique experience. They are super-modern, basically everything is controlled via in-room ipad. We found the ipad system to work great, very easy to use and had a great…"
4,2017,11,Lovely room,"I feel at home in Armani hotel everything was perfect just could be a bit better the pillow but every things at the end was more then good,i high raccomande this lovely hotel and the staffs very well organized and always available for your need!"
5,2017,11,Dream Stay,"One of the best hotels I stayed around the world . Takes this from a world traveler The staff were extremely helpful, the room amenities were amazing, the furniture , items in the fridge and the entertainment package were exceptional"
5,2017,11,Marvelous,"Beautiful, well located.top notch. Service top. I recommend.luxurious. Staff super caring.we stayed there for a weekend and we felt like home. All the staff was amazing and caring all the time around with a smile"
5,2017,11,Armani at its best,"This is a great design hotel at a fantastic location.We love the friendly staff, the beauriful room and the Armani ristorante and the bar. A place for a perfect weekend. The room design is like a wellness oasis for your senses, minimalisic and pperfect. The bar has the Milan chic and super service, Ihe restaurants serves modern cuisine, try the sea urchin pasta. Congratulations to M Armani and the hotelnteam"
5,2017,10,Armani Milano - The perfect introduction to Milan,"Classy and elegant accommodation, great service and beautiful rooms, in a central location ideal for shopping and sightseeing. Didn't get a chance to try the Michelin star restaurant on this trip but definitely on my next visit!"
5,2017,10,Different and cool,"The location couldn’t be better, the view from above is amazing. Staff is very friendly and ipad in room is highlight. We could check in earlier. Breakfast is ok. It is very quiet. We loved the emporio cafe."
5,2017,10,Excellent spa and service,"Thoroughly enjoyed the friendly, helpful service throughout the hotel. Beautifully appointed hotel, fantastic views and the spa is peaceful and elegant. I was treated by Rossella in the spa. Very professional and knew exactly what to do for my injury. Highly recommended."
5,2017,10,Magnificent days at Armani hotel,"We had the best stay in Milano ever at Armani Hotel. Perfecly located next to cuadrilatero de la moda, all restaurants recommended were walking distance as also high end shops and the most important monuments as the Duomo and the Scala Theatre. The room big and peaceful made us rest magnificent, we didn't wanted to leave. Will be back for sure!"
4,2017,10,Very nice Hotel with very friendly staff,"We had again a great stay with the Armani Hotel Milano The breakfast was very good and the SPA as well. Parking fees are too expensive. We visiting a lot of 5Stars Hotel in different countries and big cities, but we never paid so much for parking."
5,2017,10,Simply excellent,"Very nice experience, we recommend for a city trip to Milano. Best situated, clean, chic, nice staff. Rooms are very spacious, top modern equipment. Bed quality excellent, huge bathroom, any comfort you may wish."
1,2017,10,Appaling,Freezing shower! For such an expensive and supposedly good hotel it was massively disappointing to not have hot water and the hotel apologising but neither giving a refund nor trying hard to make a fix. Never again.
5,2017,10,5 star experience,"100% quality and classy. The room and the room service is the best I have ever seen. Fully controlled by ipad, 24/7 kitchen for hotel guests, the bar has fantastic cocktails. The hotel is 5 minute walk form the famous cathedral. Words can't describe, you have to see it for yourself, absolute stunning hotel corner to corner."
5,2017,10,A great experience!,"The design and services are really complementary to eachother. Enjoyed avery minute of our stay. Great place to be, at walking distance of all places of interest. In the middle of the fashion area and close to the Duomo. Great service and friendly and well trained staff."
5,2017,9,You are never wrong .. with Armani,when it comes down to design and style .. you just can't get wrong with Armani .. The location is perfect right in Via Monte Napoleone .. the interiors are just so elegant .. and the rooms very relaxing .. Of course dining and the lounge are two great experiences .. and so is the gym and spa.. the perfect Milanese choice ..
5,2017,9,Excellent stay in Milano!,"Hi quality team, since the entrance of the hotel. Very modern style in the heart of a historical city with all confort we would expect. Excellent food with beautiful views of the city. Excellent location."
5,2017,9,A wonderful place to stay,"Booked for my daughter to spend her 18th birthday night here. She thoroughly enjoyed it. Staff were fantastic, and did everything possible to make her stay memorable. The room was wonderful, as was the restaurant and spa. Highly recommended."
5,2017,9,AMAZING,"I had the opportunity to spend one night in this hotel while visiting Milan. I was truly impressed by the staff, facilities, and overall hotel experience. I would definitely return if I had the opportunity. They really know luxury."
5,2017,9,The best of milan,"We choose milan as our final destination as our 2weeks Italy vacation. From my friend's recommendation, we choose Armani as our home in Milan, the hotel located at the heart of Milan, the hotel's staff are great and helpful. The in room facilty are very modern and in low key luxury. Definitely we will stay again when we visit milan."
4,2017,9,Nice hotel,"I thought it was a very modern hotel. However, how to use the elevator's card was hard to use for me. In the room I had sounds outside (rain, church bells, train sound) could be heard. This was the dissaopoint thing."
5,2017,9,Armani Magic,"A wonderful experience in every respect - conference access, food, transportation, staff at all levels, and the room was superb. Service to the room was quietly efficient and thorough. Breakfast was good by Italian standards."
4,2017,9,Very high tech,"Staff very attentive, service was great. The iPad interface was impressive and one of the best room control systems I have experienced, with room controls, tv, and in room dining all integrated nicely. Restaurant food was excellent too. Did not like the rather dim lighting in corridors and room. The bed and pillows were less comfortable than expected."
5,2017,9,Armani hotel. Best in Milano,Excellent hotel with everything one could dream of. We had many other options yet we come back to the Armani every time. The location as well as the ambiance are unique and memorable. We tell our friends to stay at the Armani many still go to the mandarin for their parking situation and oriental style. We prefer the Armani.
5,2017,9,Amazing,"It was a great stay at the hotel. Great design, best hotel in milano ! Rooms are spacious,luxury and everything is Armani. Who doesn't like Giorgio Armani ?! Look at the picture, you will love it when you experience it !"
5,2017,9,The Armani is Milan!!,"The Armani is all the style of Milan. The staff, top to bottom make this contemporary hotel warm and friendly. Drinks and dining, dinner and breakfast are incredible. The rooms are stylish, comfy and luxurious with amazing views of the city. It is centrally located which makes walking easy to all the sights and sounds of Milan. Simply, the best!"
5,2017,9,Chic. Stylish. Sophisticated.,"A chic, stylish and very cool hotel, as you would expect from the name. The staff were attentive and polite. A sophisticated hotel with a great ambience. The kids loved it. However, they missed a proper swimming pool, the spa pool not being suitable for swimming."
4,2017,9,Probably the best value during Formula One Weekend,"When room rates in Milan are hitting sky high prices because it's such a busy weekend, the Amani provided relatively good value for money. Unfortunately there were some imperfections but it was all round a decent, albeit still expensive stay. Check in - I was able to check in before the official check in time and the staff were very helpful in this regard. I was having difficulty booking tickets on an external website to go to the outlet mall. A gentlemen staff member was very gracious in assisting me to book the ticket however I was surprised that they charge a 2 euro commission for this - based on my experience, concierge assistance making reservations and booking tickets is standard hotel service. Given the room rate for this hotel, it's hard to feel like you're not…"
5,2017,9,Awesome,"This place is awesome. Really nice rooms, spacious and comfortable. Very modern. Elegant as you'd expect it from Armani. Super fast internet. The food in the restaurants is excellent. The gym has sensational views over Milan, just like many of the higher floors. The location is top."
5,2017,7,"Superb, Sharp, Great Stay and Start to Our Trip","We had such a great stay at the Armani Hotel. I would definitely go back. The staff is friendly, attentive, and sharp. We only stayed for one night at the beginning of our trip, but I wish we had had more time in Milan. The views from our room of the city were wonderful, and everything in the room was smart/automated. I literally raised and lowered the shades for fun... This was the start of a second honeymoon trip, so we really appreciated the champagne and flowers! The attention to detail was appreciated. The Armani is a little more formal than we usually are - I kept wondering if I should dress a little sharper, and maybe I started to...? No one honestly seemed to care. They just smiled and asked what we needed. This is a bit of a late review, but I am going…"
5,2017,8,Fantastic stay at Armani Hotel,"We chose Armani Hotel for the fantastic rating on online reviews, and it met and surpassed my expectations. The check-in was prompt and attention given to every detail, including hypo-allergenic pillows and comforters. The porters were very prompt and courteous.The dinners at Bamboo Bar were very pleasant, with very tasty and beautiful dishes. The highlight of the service was definitely the breakfast, which was included in the cost. Andrea at the breakfast restaurant took great care of us. When I mentioned that due to my son's nut allergies, we were unable to taste any cakes that were on the breakfast buffet table, he promptly returned in a few short minutes with a beautiful freshly baked nut-free cake. I have never had such caring service before. Clearly the hotel…"
4,2017,8,Favorite hotel in Milano,"This was my second stay at the Armani hotel, and it was absolutely great. The rooms are very chic, fashionable, yet modern. The staff are very attentive and welcoming with the personalized attention that they give to each guest. However, there is one issue that needs improvement, and that is the cleaning of the rooms. My room was extremely dusty when I walked in, and I had to specify to the housekeeping that they do deep cleaning. This is the only reason I would give this hotel 4 stars instead of 5. Other than this issue, it is an excellent hotel that I highly recommend! I will definitely be returning. Sincerely, Michelle R. Safarian"
